posts/social-media-created-too-many-rules.md	Social media created too many rules	2023-10-23T14:30:00+00:00	2023-10-23T14:30:00+00:00
posts/tech-skills-are-not-that-important.md	Tech skills are not that important	2023-10-09T14:30:00+00:00	2023-10-09T14:30:00+00:00
posts/how-to-remind-if-they-forgot-to-do-their-work.md	How to remind if they forgot to do their work	2023-10-06T14:30:00+00:00	2023-10-06T14:30:00+00:00
posts/understanding-the-task.md	The problem of understanding the task	2023-10-03T14:30:00+00:00	2023-10-03T14:30:00+00:00
posts/rss.md	RSS, and How To Subscribe To My Blog	2023-09-29T14:30:00+00:00	2023-09-29T14:30:00+00:00
posts/say-no-more-often.md	Improve your work by saying no more often	2023-09-14T14:30:00+00:00	2023-09-14T14:30:00+00:00
posts/when-they-complain-to-you-show-respect.md	When they complain to you, show respect	2023-09-09T14:30:00+00:00	2023-09-09T14:30:00+00:00
posts/digital-and-physical.md	Digital reflecting physical	2023-09-03T14:30:00+00:00	2023-09-03T14:30:00+00:00
posts/how-to-avoid-being-micromanaged-at-work.md	How to avoid being micromanaged at work	2023-09-02T14:30:00+00:00	2023-09-02T14:30:00+00:00
posts/blog-as-a-way-of-communication.md	Blog as a way of communication	2023-07-25T14:30:00+00:00	2023-07-25T14:30:00+00:00
posts/should-i-share-my-plans-in-such-detail.md	Should I share my plans in such detail?	2023-07-17T14:30:00+00:00	2023-07-17T14:30:00+00:00
posts/the-kindest-person-is-often-the-smartest-one.md	The kindest person is often the smartest one	2023-07-07T14:30:00+00:00	2023-07-07T14:30:00+00:00
posts/my-list-of-cabins-in-the-carpathians-for-solitude-and-privacy.md	My list of cabins in the Carpathians for solitude and privacy	2023-07-03T14:30:00+00:00	2023-07-03T14:30:00+00:00
posts/how-to-get-ready-for-adobe-analytics-certification-exam.md	How to get ready for Adobe Analytics certification exam	2023-06-30T14:30:00+00:00	2023-06-30T14:30:00+00:00
posts/my-5-principles-for-selecting-a-home.md	My 5 principles for selecting a home	2023-06-02T14:30:00+00:00	2023-06-02T14:30:00+00:00
posts/just-admit-that-you-dont-know-something-its-fine.md	Just admit that you don't know something. It's fine	2023-01-31T14:30:00+00:00	2023-01-31T14:30:00+00:00
posts/what-is-love.md	What is love	2022-12-12T14:30:00+00:00	2022-12-12T14:30:00+00:00
posts/embrace-our-own-flaws-to-better-understand-others.md	Embrace our own flaws to better understand others	2022-06-27T14:30:00+00:00	2022-06-27T14:30:00+00:00
posts/why-skills-are-more-important-than-passion-in-getting-the-work-well-love.md	Skills over passion	2022-06-12T14:30:00+00:00	2022-06-12T14:30:00+00:00
posts/how-to-read-more.md	How to read more	2022-05-18T14:30:00+00:00	2022-05-18T14:30:00+00:00
posts/five-ways-in-which-social-media-and-tech-are-harming-our-attention.md	5 ways in which social media and tech are harming our attention	2022-04-14T14:30:00+00:00	2022-04-14T14:30:00+00:00
posts/why-context-switch-is-bad.md	Why context switch is bad	2022-04-06T14:30:00+00:00	2022-04-06T14:30:00+00:00
posts/slow-productivity.md	Slow productivity	2022-01-14T14:30:00+00:00	2022-01-14T14:30:00+00:00
posts/productivity-and-self-development-hustle-all-over-youtube.md	Productivity and self-development hustle all over Youtube	2022-01-09T14:30:00+00:00	2022-01-09T14:30:00+00:00
posts/root-cause-for-empathy.md	Root cause for empathy	2021-11-07T14:30:00+00:00	2021-11-07T14:30:00+00:00
posts/youtube-has-become-ubiquitous.md	Youtube has become ubiquitous	2021-10-26T14:30:00+00:00	2021-10-26T14:30:00+00:00
posts/about-dopamine.md	About dopamine	2021-09-29T14:30:00+00:00	2021-09-29T14:30:00+00:00
posts/why-you-must-not-stay-out-of-politics.md	Why you must not stay out of politics	2021-09-24T14:30:00+00:00	2021-09-24T14:30:00+00:00
posts/why-to-write.md	Why to write	2021-09-09T14:30:00+00:00	2021-09-09T14:30:00+00:00
posts/why-digital-minimalism.md	Why digital minimalism	2021-09-03T14:30:00+00:00	2021-09-03T14:30:00+00:00
posts/likes-and-shares-teach-us-to-express-more-outrage-online.md	Likes and shares teach us to express more outrage online	2021-08-16T14:30:00+00:00	2021-08-16T14:30:00+00:00
posts/to-be-a-better-version-of-yourself.md	A better version of yourself	2021-08-10T14:30:00+00:00	2021-08-10T14:30:00+00:00
posts/positive-thinking.md	Struggle to think positively	2021-07-09T14:30:00+00:00	2021-07-09T14:30:00+00:00
posts/countries-and-cities.md	My travels	2021-07-07T14:30:00+00:00	2021-07-07T14:30:00+00:00
posts/why-creative-people-should-be-working-like-accountants.md	Why creative people should be working like accountants	2021-05-26T14:30:00+00:00	2021-05-26T14:30:00+00:00
